symbol,market,timeframe,action,strength,confidence,entryTime,exitTime,holdBars,entry,exit,stopLoss,takeProfit,exitReason,rrPlanned,stopDistPct,plannedRisk,realizedRisk,riskKeepRatio,rGrossPlanned,rGrossRealized,rGross,costR,costRBase,rNet,tradeable
KO,US_STOCK,1D,BUY,moderate,64,1970-04-02T14:30:00.000Z,1970-04-02T14:30:00.000Z,0,0.8372399806976318,0.829134,0.829134,0.868212,stop_loss,3.820873427091069,0.009681811890117343,0.008105999999999947,0.008105980697631798,0.9999976187554714,-0.9999976187554714,-1,-0.9999976187554714,0.051643226048460236,0.051643226048460236,-1.0516408448039316,1
BA,US_STOCK,1D,BUY,moderate,58,1970-04-10T14:30:00.000Z,1970-04-13T14:30:00.000Z,1,0.7613170146942139,0.720753,0.720753,0.842444,stop_loss,1.9999753475988526,0.05328135220554967,0.040564000000000044,0.04056401469421389,1.0000003622476543,-1.0000003622476543,-1,-1.0000003622476543,0.009384146221948194,0.009384146221948194,-1.0093845084696025,1
KO,US_STOCK,1D,SELL,moderate,64,1970-04-07T14:30:00.000Z,1970-04-13T14:30:00.000Z,4,0.8177080154418945,0.786178,0.833473,0.786178,take_profit,1.999999999999993,0.019279497940937418,0.01576500000000003,0.015764984558105488,0.9999990204951131,2.00000097950488,2.0000029385175315,2.00000097950488,0.025934285297871645,0.025934285297871645,1.9740666942070082,1
XOM,US_STOCK,1D,SELL,strong,70,1970-04-13T14:30:00.000Z,1970-04-20T14:30:00.000Z,5,1.75,1.6772,1.7823,1.6772,take_profit,2.253869969040247,0.018457142857142856,0.032299999999999995,0.032299999999999995,1,2.253869969040247,2.253869969040247,2.253869969040247,0.02708978328173375,0.02708978328173375,2.226780185758513,1
DIS,US_STOCK,1D,SELL,moderate,64,1970-04-10T14:30:00.000Z,1970-04-23T14:30:00.000Z,9,0.7167540192604065,0.66019,0.745036,0.66019,take_profit,1.999999999999996,0.03945844632888594,0.02828200000000003,0.028281980739593537,0.9999993189871123,2.000000681012884,2.000002043040051,2.000000681012884,0.012671558221844384,0.012671558221844384,1.9873291227910395,1
BA,US_STOCK,1D,SELL,moderate,58,1970-04-15T14:30:00.000Z,1970-04-27T13:30:00.000Z,8,0.7201650142669678,0.639919,0.760288,0.639919,take_profit,2.0000000000000053,0.05571362008030866,0.04012299999999991,0.04012298573303219,0.999999644419218,2.0000003555807875,2.000001066742731,2.0000003555807875,0.008974466194788144,0.008974466194788144,1.9910258893859993,1
KO,US_STOCK,1D,BUY,strong,70,1970-04-14T14:30:00.000Z,1970-04-27T13:30:00.000Z,9,0.7799479961395264,0.765625,0.763299,0.821057,time_exit,1.9999480600425834,0.024684979120782137,0.019253000000000076,0.016648996139526417,0.8647481503935154,-0.7439358094596328,-0.8602918770292769,-0.7439358094596328,0.02025523285045248,0.02025523285045248,-0.7641910423100853,1
XOM,US_STOCK,1D,BUY,strong,70,1970-05-19T13:30:00.000Z,1970-05-19T13:30:00.000Z,0,1.683593988418579,1.6597,1.6597,1.7737,stop_loss,3.1007194244604284,0.016512294645404938,0.027800000000000047,0.02389398841857915,0.859495986279824,-0.859495986279824,-1,-0.859495986279824,0.030280467417600293,0.030280467417600293,-0.8897764536974243,1
KO,US_STOCK,1D,SELL,moderate,58,1970-05-12T13:30:00.000Z,1970-05-20T13:30:00.000Z,6,0.7513020038604736,0.697731,0.778088,0.697731,take_profit,1.9999626670648878,0.03565277326875662,0.026785999999999976,0.02678599613952637,0.9999998558771893,1.9999628111876984,1.9999630994280015,1.9999628111876984,0.014024154481081054,0.014024154481081054,1.9859386567066173,1
XOM,US_STOCK,1D,SELL,moderate,64,1970-05-26T13:30:00.000Z,1970-05-27T13:30:00.000Z,1,1.6015629768371582,1.6463,1.6463,1.512,stop_loss,2.004474272930638,0.02791023559265577,0.044700000000000184,0.044737023162841894,1.0008282586765482,-1.0008282586765482,-1,-1.0008282586765482,0.017914574684979326,0.017914574684979326,-1.0187428333615276,1
